中文正名,英文名,入藥部位
天南星,Pedate Pinellia Tuber,塊莖
水半夏,Whipformed Typhonium TuberWater Typhonium Tuber,塊莖
滴水珠,Cordate Pinellia Tuber,塊莖
半夏,Temate Pinellia,塊莖
大百部,Large Tuber Stemona Root,塊根
百部,Sessile Stemona Root Tuber,塊根
野慈姑,Wild Arrow-head bulb,球莖
慈姑,Chinese Arrow-head Bulb,球莖
澤瀉,Oriental Waterplantain Tuber,塊莖
棕樹根,Fortune Windmillpalm Root,根
青錢柳根,Roundwingfruit Cyclocarya Root,根
雷公橘根,Membranaceousleaf Caper Root,根
廣州山柑根,Canton Caper Root,根
貓兒矢根,Notable Decaisnea Root Farges Decaisnea Root,根
西南野木瓜根,Cavalerie Stauntonia Root,根
雞爪七,Pinnatifid Horsegentian Root,根
蔓胡頹子根,Glabrous Elaeagnus Root,根
山梔茶,Anisetree-like Pittosporum Root or Seed,根或種子
山枝根,Glabrousleaf Pittosporum Root,根
對節茶,South China Eranthemum Root,根
白接骨,Chinese Asystusiella Rhizome or Herb Nees Asystusiella Rhizome or Herb,根莖或全草
桃金娘根,Downy Rosemyrtle Root Rose-myrtle Root,根
山竹子根,Manyflower Garcinia Root,根
橫經席,Membranaceus Beautyleaf Root,根
金絲桃根,Chinese St. John'swort Root,根或全草
月見草,Evening Primrose Root or SeedGerman Rampion Root or Seed,根或種子
柳蘭,Great Wouowherb Rhizome,根莖
貓人參,Largeseed Actinicha Root,根
獼猴梨根,Bower Actinidia RootTara Vine Root,根
獼猴桃根,Yangtao Actinidia Root,根
陽桃根,Common Averrhoa Root,根
鍋鏟藤,Cupleaf Passionflower Root or Herb,根或全株
西番蓮根,Passionflower Root,根
霸王根,Common Sarcozygium Root,根
茶樹根,Tea Root,根
山茶根,Japanese Camellia Root,根
丁座草,Himalayan Boschniakia Tuber,塊莖
樹蘿蔔,Whiteflowr Agapetes Root Tuber,塊根
杜鵑花根,Indian Azalea Root,根
娃娃拳根,Bilobed Grewia Root,根
瓜馥木根,Oldham Fissistigma Root or Stem,根或藤
蘿蔔根老鸛草,Turnip-root Cranesbill,根或全草
淩霄根,Chinese Trumpectcreeper Root,根
辣根,Horseradish Root,根
地骷髏,Withered Radish Root,乾枯老根
蕪菁,Turnip,塊根
滇土瓜,Hungai Merremia Root Tuber,塊根
旋花根,Hedge Glorybind Rhizome,根莖
面根藤,Ivy Glorybind Rhizome,根莖
甜菜根,Common Beet Root,根
地稔,Twelve Stamen Melastoma Root or Herb,根或全株
野牡丹根,Common Melastoma,根
黃楊,Chinese Littleleaf Box Root or Leaf,根、葉
紅天葵,Fimbrdiate –stipulate Begonia Tuber or Herb,根莖或全草
紫茉莉根,Common Four-O'clock Root,根
烏泡根,Parker Raspberry Root,根
川莓根,Szechwan Raspberry Root,根
山莓根,Juteleaf Raspberry Root,根
刺梨根,Roxbungh Rosae Root,根
