DATE,CORESTICKM158SFRBATL
1984-10-01,4.924576263
1984-11-01,4.126154867
1984-12-01,4.844845758
1985-01-01,2.987831632
1985-02-01,6.655974574
1985-03-01,5.013272730
1985-04-01,3.871028574
1985-05-01,6.956667223
1985-06-01,4.867656046
1985-07-01,4.352029448
1985-08-01,5.507185664
1985-09-01,3.411982504
1985-10-01,6.190601584
1985-11-01,7.242014879
1985-12-01,3.426709467
1986-01-01,6.164485278
1986-02-01,4.583854401
1986-03-01,6.277740772
1986-04-01,5.553579304
1986-05-01,3.004229410
1986-06-01,4.883701170
1986-07-01,3.558595212
1986-08-01,3.866307121
1986-09-01,4.897867877
1986-10-01,5.400349737
1986-11-01,3.542736009
1986-12-01,4.068636076
1987-01-01,4.192300122
1987-02-01,4.094030392
1987-03-01,4.134747837
1987-04-01,6.704741357
1987-05-01,3.703289271
1987-06-01,2.009188092
1987-07-01,3.452455329
1987-08-01,5.243551369
1987-09-01,5.020301129
1987-10-01,6.033105698
1987-11-01,3.205018592
1987-12-01,3.924096326
1988-01-01,5.168122836
1988-02-01,4.128894584
1988-03-01,4.920187133
1988-04-01,5.929070801
1988-05-01,4.382853955
1988-06-01,4.859007654
1988-07-01,3.769188254
1988-08-01,4.926708186
1988-09-01,5.566693939
1988-10-01,4.647388729
1988-11-01,4.821664138
1988-12-01,4.483247410
1989-01-01,4.664153680
1989-02-01,4.554850486
1989-03-01,4.535476980
1989-04-01,4.323832957
1989-05-01,5.880123271
1989-06-01,4.888088901
1989-07-01,5.583846099
1989-08-01,4.450897073
1989-09-01,3.399855861
1989-10-01,6.253507726
1989-11-01,4.747514522
1989-12-01,4.860887683
1990-01-01,5.600622374
1990-02-01,4.733616824
1990-03-01,7.848237483
1990-04-01,5.344955085
1990-05-01,4.555850499
1990-06-01,7.364007910
1990-07-01,7.360037616
1990-08-01,8.325687273
1990-09-01,4.492367118
1990-10-01,4.685175903
1990-11-01,3.400969478
1990-12-01,4.493991252
1991-01-01,7.614407978
1991-02-01,5.262164697
1991-03-01,3.211935973
1991-04-01,3.043075800
