修訂版,小冊集,明文版
0.0,0.0,0.0
7.708445483406835,7.708445483406835,7.708445483406835
42.236023933099034,51.62180702934326,51.62180702934326
65.69283370079744,26.277133480318966,72.26211707087718
20.099343410913306,13.399562273942205,46.898467958797724
94.32621184674801,97.29106131757152,188.45013416042207
38.51139100493931,32.35080190063282,32.35080190063282
32.68293139740702,45.00410960602001,45.00410960602001
23.698324848424456,23.698324848424456,29.408005341206028
9.325567575556173,9.325567575556173,27.97670272666852
38.45196078158107,38.45196078158107,43.258455879278706
15.41689096681367,15.41689096681367,15.41689096681367
67.6835035044136,56.26414251885045,89.61904008045595
245.6731728072283,251.350466287383,366.8641842480979
264.1560824853957,257.132982431874,458.4335427319026
0.0,0.0,0.0
301.7524813664441,300.06561487188065,505.41271168953807
0.0,0.0,0.0
50.58416694378782,48.34301525144927,57.08697484023669
35.7659229103614,5.9609871517269,29.8049357586345
21.909609567894364,21.909609567894364,21.909609567894364
13.138566740159483,6.5692833700797415,13.138566740159483
125.07012049936718,126.41088128439532,214.39097289350633
279.1908056772933,275.6296282848559,490.3713759937309
77.67202581284464,90.59560989840158,134.0710754166776
145.12478174725965,155.1333873850017,215.185021211454
0.0,0.0,0.0
248.19737724716467,258.0214797705452,376.12455810772076
31.191337678675552,31.191337678675552,31.191337678675552
244.76434441062406,264.52031253514514,431.5422339756278
51.55949937008528,62.72347769371166,79.59713651011961
120.90318314280843,134.00487504286204,170.2562720874766
33.498905684855515,40.19868682182662,53.59824909576883
0.0,0.0,0.0
15.41689096681367,0.0,15.41689096681367
150.3166670238139,150.3166670238139,175.3694448611162
16.26772347277697,16.26772347277697,16.26772347277697
313.1099713879925,318.78726486814725,447.1426142915554
60.5198126443694,67.62039468661317,83.67913692431036
24.104564575332674,20.804903295799598,27.40422585486575
195.90099531069106,188.74451604648502,270.9785992209474
9.325567575556173,9.325567575556173,9.325567575556173
21.909609567894364,22.517473009057433,29.618055051301198
24.315899438642916,24.315899438642916,16.210599625761944
28.879926705639676,6.5692833700797415,64.3291367813591
44.16670658167773,43.38439458711472,77.96333441133277
15.41689096681367,15.41689096681367,15.41689096681367
104.29473318842447,99.62398009385714,108.8388577109957
27.807788894320147,27.807788894320147,27.807788894320147
102.69092552391865,85.22031391611162,130.20432080317968
198.0021013281961,204.14477228526022,262.10012710133265
80.07825604895686,81.35087389762452,167.79221918991982
91.95362217070392,84.07785609516709,182.08319471793791
0.0,0.0,0.0
23.01109690617743,28.46539473702224,33.91969256786705
20.099343410913306,20.099343410913306,20.099343410913306
7.708445483406835,7.708445483406835,7.708445483406835
0.0,0.0,0.0
6.051250622243901,12.102501244487803,6.051250622243901
207.22121202564708,212.8985055058018,323.60572836881903
0.0,0.0,0.0
0.0,0.0,0.0
40.11471875892511,53.011439329240254,70.20706675632711
103.20990854601489,103.20990854601489,118.58577371495112
0.0,0.0,0.0
20.099343410913306,13.399562273942205,20.099343410913306
0.0,0.0,0.0
124.04251122907672,124.04251122907672,135.63938716722367
88.97850503208275,103.92926035609904,133.59696691575854
13.138566740159483,13.138566740159483,13.138566740159483
7.708445483406835,7.708445483406835,7.708445483406835
21.817191323379248,21.817191323379248,21.817191323379248
0.0,0.0,0.0
97.59192738543916,103.03392152386468,149.6981456381197
174.35906706953187,178.3413237195171,283.27515307434976
13.138566740159483,0.0,19.707850110239225
0.0,0.0,0.0
38.71382929713331,30.971063437706647,139.36978546967998
0.0,0.0,0.0
19.48271584820897,9.341506189134659,24.1534689427763
20.099343410913306,6.699781136971103,33.498905684855515
14.201164084487527,7.100582042243763,14.201164084487527
110.5615291278996,96.24043501574272,200.25906945500276
22.319795833298972,5.250170821073076,32.82013747544512
33.16861567736486,18.296767848408983,46.891191563671605
40.98242795012748,0.0,69.86235465576716
21.909609567894364,7.100582042243763,14.201164084487527
0.0,0.0,0.0
21.660938570025476,20.54270380812678,44.17982741197149
0.0,0.0,0.0
0.0,0.0,0.0
114.25247425187538,92.8153566640389,199.68251440201936
14.201164084487527,21.301746126731288,21.301746126731288
19.707850110239225,19.707850110239225,26.277133480318966
39.22459290196554,39.22459290196554,43.41223402661731
0.0,0.0,0.0
13.138566740159483,6.5692833700797415,13.138566740159483
0.0,0.0,0.0
15.41689096681367,15.41689096681367,15.41689096681367
30.267608218504193,36.83689158858394,29.408005341206028
78.3081771904459,78.3081771904459,143.31909465251059
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
28.02451856740398,23.35376547283665,18.683012378269318
0.0,0.0,0.0
192.6509923312219,192.36234762160964,282.4842142228006
45.72059627904693,10.160132506454875,45.72059627904693
0.0,0.0,0.0
18.671784614567546,6.051250622243901,18.671784614567546
11.446927809502773,11.446927809502773,11.446927809502773
21.909609567894364,21.909609567894364,29.618055051301198
36.08622128519546,27.755852047464685,65.62876464684835
41.28426312596254,25.467873773924165,41.28426312596254
19.707850110239225,13.138566740159483,0.0
6.5692833700797415,6.5692833700797415,19.707850110239225
0.0,0.0,0.0
10.141209659074311,15.211814488611466,25.35302414768578
47.89556661953867,39.17238649122852,72.21012882199551
34.300507495400836,20.900945221458628,47.700069769343045
0.0,0.0,0.0
27.85301370770703,17.352672065560878,38.35335534985318
12.102501244487803,12.102501244487803,12.102501244487803
6.5692833700797415,6.5692833700797415,6.5692833700797415
14.201164084487527,7.100582042243763,14.201164084487527
12.102501244487803,12.102501244487803,30.256253111219507
27.807788894320147,21.108007757349043,41.207351168262356
44.11241575505666,58.191090399423,114.50578897688843
15.41689096681367,15.41689096681367,15.41689096681367
