學年/學期Semester,科目代號Course Code,開課序號Serial No.,開課單位Department,年級Year,課程名稱Course Title,授課教師Instructor,學分Credits,上課時間Class Sched.,選課人數Seats
107/ 1,GD0011,32067,通識中心,2,智慧財產權Right of Intellectual Property    ,黃孝惇,2 ,Wed 13:10-15:00,65/ 65
107/ 1,GH0088,32068,通識中心,2,"性別、科技與社會Gender, Technolog and Society    ",陳麗如,2 ,Thu 15:10-17:00,12/ 65
107/ 1,GH0090,32069,通識中心,2,科技倫理Technology Ethics    ,蘇詔勤,2 ,Mon 10:10-12:00,63/ 65
107/ 1,GH0092,32071,通識中心,2,學術英文寫作Academic Writing in English    ,田康人,2 ,Tue 10:10-12:00,21/ 25
107/ 1,GH0094,32073,通識中心,2,台灣古典文學選讀Selected Readings in Classical Literature in Taiwan    ,徐慧鈺,2 ,Thu 15:10-17:00,65/ 65
107/ 1,GH0097,32076,通識中心,2,文學與人生Literature and Life    ,劉德玲,2 ,Thu 10:10-12:00,18/ 65
107/ 1,GH0099,32077,通識中心,2,法律與生活Law in Daily Life    ,于茂宗,2 ,Mon 13:10-15:00,57/ 65
107/ 1,GH0101,32079,通識中心,2,弦樂作品賞析Appreciation of String Works    ,洪于淳,2 ,Mon 10:10-12:00,0/ 65
107/ 1,GH0105,32083,通識中心,2,西洋美術巡禮The Parades of Western Art    ,洪進丁,2 ,Tue 10:10-12:00,59/ 65
107/ 1,GH0108,32085,通識中心,2,"<紅樓夢>之詩詞品賞""Dream of Red Mansions"" Poem Appreciation    ",徐慧鈺,2 ,Mon 10:10-12:00,32/ 65
107/ 1,GT0018,32087,通識中心,2,人際溝通Interpersonal Communication    ,陳惠茹,2 ,Tue 13:10-15:00,64/ 65
107/ 1,GT0040,32089,通識中心,2,親職教育Education of Parenting    ,陳惠茹,2 ,Wed 10:10-12:00,62/ 65
107/ 1,GT0045,32090,通識中心,2,中醫概論Introduction to Chinese Medicine    ,吳宜鴻,2 ,Fri 10:10-12:00,64/ 65
107/ 1,GT0046,32091,通識中心,2,針灸學概論Introduction to Acupuncture and Moxibustion    ,薛宏昇,2 ,Tue 08:10-10:00,65/ 65
107/ 1,GT0047,32092,通識中心,2,營養與保健Nutrition and Health    ,王彥懿,2 ,Thu 10:10-12:00,53/ 65
107/ 1,GT0048,32093,通識中心,2,人類性學概論Introduction to Human Sexuality    ,黃世聰,2 ,Tue 13:10-15:00,65/ 65
107/ 1,GT0053,32094,通識中心,2,中藥的養生保健與美容Health and Beauty Maintenance in Chinese Medicine    ,魏迺杰,2 ,Tue 15:10-17:00,35/ 35
107/ 1,GT0060,32095,通識中心,2,生物技術概論Introduction to Biotechnology    ,張國友,2 ,Thu 10:10-12:00,0/ 65
107/ 1,GT0071,32096,通識中心,2,特殊教育導論Introduction of Special Education    ,陳麗如,2 ,Thu 10:10-12:00,49/ 65
107/ 1,GT0076,32097,通識中心,2,德文(2)German (Ⅱ)    ,楊文敏,2 ,Tue 15:10-17:00,12/ 65
107/ 1,GT0078,32098,通識中心,2,個人理財與投資Investments & Management    ,王榮杰,2 ,Mon 10:10-12:00,30/ 65
107/ 1,GT0081,32099,通識中心,2,日文(2)Japanese(Ⅱ)    ,朱順,2 ,Mon 15:10-17:00,17/ 65
107/ 1,GT0087,32100,通識中心,2,音樂與情緒Emotion in Music    ,許淑婷,2 ,Mon 10:10-12:00,47/ 65
107/ 1,GT0095,32101,通識中心,2,中國繪畫入門Chiness Painting    ,江正誠,2 ,Wed 10:10-12:00,63/ 65
107/ 1,GT0097,32102,通識中心,2,企業組織與工作倫理Business Management and Ethics    ,黃鐘鋒,2 ,Mon 18:10-20:00,67/ 65
107/ 1,GT0105,32103,通識中心,2,旅遊英文Traveler's English    ,陳鳳儀,2 ,Tue 10:10-12:00,59/ 65
107/ 1,GT0110,32105,通識中心,2,草藥的認識與應用Knowledge and Application of Herb Medicine    ,楊榮季,2 ,Thu 10:10-12:00,64/ 65
107/ 1,GT0119,32107,通識中心,2,財務管理與分析Financial Management and Analysis    ,王榮杰,2 ,Mon 13:10-15:00,12/ 65
107/ 1,GT0125,32108,通識中心,2,生涯發展與規劃Career Development    ,陳麗如,2 ,Mon 10:10-12:00,65/ 65
107/ 1,GT0134,32111,通識中心,2,網頁設計美學Webpage Design Aesthetics    ,李榮宗,2 ,Tue 15:10-17:00,40/ 40
107/ 1,GT0135,32112,通識中心,2,部落格數位生活Learning Blog    ,吳宜真,2 ,Mon 13:10-15:00,40/ 40
107/ 1,GT0136,32113,通識中心,2,程式寫作邏輯導論Introduction to Programing Logic    ,吳宜真,2 ,Mon 16:10-18:00,38/ 40
107/ 1,GT0138,32115,通識中心,2,資料庫的理論與應用Database : Theory and Application    ,張淑滿,2 ,Mon 15:10-17:00,28/ 40
107/ 1,GT0139,32116,通識中心,2,數位革新：智慧型人機介面Digital Innovation：Intelligent Interface of Human-Machine    ,黃朝錦,2 ,Wed 13:10-15:00,19/ 25
107/ 1,GT0141,32117,通識中心,2,認識銀髮族The Changes and Needs of the Older Adults    ,林佩欣,2 ,Thu 10:10-12:00,12/ 65
107/ 1,GT0155,32118,通識中心,2,瘟癘瘴蠱Epidemic    ,劉世東,2 ,Tue 15:10-17:00,19/ 20
107/ 1,GT0146,32119,通識中心,2,聖經與科學Bible and Science    ,賴朝松,2 ,Mon 13:10-15:00,13/ 65
107/ 1,GD0002,32120,通識中心,2,詩詞選讀Literary Reading:Poetry    ,劉德玲,2 ,Wed 10:10-12:00,0/ 20
107/ 1,GT0110,32121,通識中心,2,草藥的認識與應用Knowledge and Application of Herb Medicine    ,楊榮季,2 ,Thu 13:10-15:00,20/ 20
107/ 1,GT0153,32125,通識中心,2,生物技術及生物資訊之發展現況ICurrentDevelopments of Biotechnology and Bioinformatics    ,廖威超,2 ,Tue 13:10-15:00,65/ 65
107/ 1,GT0154,32126,通識中心,2,德文(3)German (Ⅲ)    ,楊文敏,2 ,Tue 10:10-12:00,19/ 65
107/ 1,GT0155,32127,通識中心,2,瘟癘瘴蠱Epidemic    ,劉世東,2 ,Tue 13:10-15:00,65/ 65
107/ 1,GT0156,32128,通識中心,2,"大數據之旅-挑戰KaggleJourney Toward Big Data, Kaggle Challenge    ",黃朝錦,2 ,Thu 13:10-15:00,0/ 20
107/ 1,GT0157,32129,通識中心,2,R程式語言入門R Programming    ,張淑滿,2 ,Thu 10:10-12:00,24/ 40
107/ 1,GD0036,32130,通識中心,2,英美小說選讀English Fiction    ,陳鳳儀,2 ,Mon 10:10-12:00,26/ 30
107/ 1,GD0037,32131,通識中心,2,商務英語溝通Business English Communication    ,賴素珍,2 ,Wed 10:10-12:00,27/ 30
107/ 1,GH0092,32132,通識中心,2,學術英文寫作Academic Writing in English    ,田康人,2 ,Mon 13:10-15:00,24/ 25
107/ 1,GT0097,32133,通識中心,2,企業組織與工作倫理Business Management and Ethics    ,陳世忠,2 ,Mon 13:10-15:00,65/ 65
107/ 1,GT0097,32134,通識中心,2,企業組織與工作倫理Business Management and Ethics    ,陳世忠,2 ,Mon 10:10-12:00,65/ 65
107/ 1,GT0097,32135,通識中心,2,企業組織與工作倫理Business Management and Ethics    ,陳世忠,2 ,Thu 10:10-12:00,61/ 65
107/ 1,GT0097,32136,通識中心,2,企業組織與工作倫理Business Management and Ethics    ,趙銘崇,2 ,Fri 13:10-15:00,63/ 65
107/ 1,GT0137,32137,通識中心,2,資料處理與應用Introduction of Data Processing    ,施大偉,2 ,Tue 13:10-15:00,40/ 40
107/ 1,GT0137,32138,通識中心,2,資料處理與應用Introduction of Data Processing    ,陳偉忠,2 ,Tue 15:10-17:00,39/ 40
107/ 1,GT0137,32139,通識中心,2,資料處理與應用Introduction of Data Processing    ,陳偉忠,2 ,Tue 13:10-15:00,39/ 40
