學年/學期Semester,科目代號Course Code,開課序號Serial No.,開課單位Department,年級Year,課程名稱Course Title,授課教師Instructor,學分Credits,上課時間Class Sched.,選課人數Seats
107/ 2,GS0209,33377,通識中心,1,科技法律Technology Law    ,蘇詔勤,3 ,Mon 13:10-16:00,70/ 70
107/ 2,GS0304,33378,通識中心,1,政治學與現代公民Politics and Contemporary Citizens    ,王賀白,3 ,Tue 15:10-18:00,70/ 70
107/ 2,GS0305,33379,通識中心,1,全球與兩岸政治經濟Global and Cross-strait Political Economy    ,王俊元,3 ,Mon 13:10-16:00,69/ 70
107/ 2,GS0406,33380,通識中心,1,現代公民的社會學想像Sociological Imagination of Contemporary Citizens    ,陳麗如,3 ,Mon 15:10-18:00,5/ 70
107/ 2,GS0407,33381,通識中心,1,經濟學與現代社會Economics and Contemporary Society    ,王光正,3 ,Mon 15:10-18:00,68/ 70
107/ 2,GS0410,33382,通識中心,1,管理與現代社會Management and Contemporary Society    ,鄭道有,3 ,Tue 13:10-16:00,51/ 70
107/ 2,GS0504,33383,通識中心,1,社會心理學Social Psychology    ,胡正申,3 ,Tue 15:10-18:00,70/ 70
107/ 2,GS0113,33384,通識中心,1,近代東亞的歷史變遷與發展The Historical Change and Development of Modern East Asia    ,楊明哲,3 ,Wed 09:10-12:00,52/ 70
107/ 2,GS0208,33385,通識中心,1,法學緒論Introduction to Jurisprudence    ,陳英淙,3 ,Wed 09:10-12:00,70/ 70
107/ 2,GS0209,33386,通識中心,1,科技法律Technology Law    ,蘇詔勤,3 ,Tue 13:10-16:00,70/ 70
107/ 2,GS0304,33387,通識中心,1,政治學與現代公民Politics and Contemporary Citizens    ,王賀白,3 ,Fri 13:10-16:00,70/ 70
107/ 2,GS0406,33388,通識中心,1,現代公民的社會學想像Sociological Imagination of Contemporary Citizens    ,陳麗如,3 ,Tue 15:10-18:00,56/ 70
107/ 2,GS0407,33389,通識中心,1,經濟學與現代社會Economics and Contemporary Society    ,王光正,3 ,Fri 13:10-16:00,70/ 70
107/ 2,GS0504,33390,通識中心,1,社會心理學Social Psychology    ,胡正申,3 ,Mon 15:10-18:00,70/ 70
107/ 2,GD0058,33391,通識中心,1,歌劇與歌劇院Opera and Opera Houses    ,洪于淳,3 ,Wed 09:10-12:00,70/ 70
107/ 2,GD0076,33392,通識中心,1,文學中的現代軌跡Modern Fiction    ,林美清,3 ,Tue 15:10-18:00,67/ 70
107/ 2,GD0077,33393,通識中心,1,傳記文學選讀及寫作Selected Readings in Biographical Literature and Writing    ,陳姿蓉,3 ,Mon 15:10-18:00,52/ 70
107/ 2,GD0078,33394,通識中心,1,現代詩與當代文化Modern Poetry and Contemporary Culture    ,劉德玲,3 ,Mon 13:10-16:00,67/ 70
107/ 2,GD0079,33395,通識中心,1,寓言-經典與多元思維Fables：A Multidimensional View of Classics    ,韓學宏,3 ,Mon 13:10-16:00,70/ 70
107/ 2,GD0080,33396,通識中心,1,台灣詩．鄉土情The Taiwan Poetry Country Love    ,徐慧鈺,3 ,Wed 09:10-12:00,69/ 70
107/ 2,GD0081,33397,通識中心,1,音樂的語言The Language of Music    ,周悅如,3 ,Mon 15:10-18:00,17/ 70
107/ 2,GD0088,33398,通識中心,1,哲學與文化philosophical Propositions-an Introduction to Philosophy and Culture    ,邸彥,3 ,Mon 13:10-16:00,70/ 70
107/ 2,GD0089,33399,通識中心,1,思辨與選擇Speculative and Choice    ,潘玉愛,3 ,Mon 15:10-18:00,66/ 70
107/ 2,GH0071,33400,通識中心,1,室內樂作品欣賞與實習The Appreciation and Ensemble Practice of Chamber Music    ,周悅如,2 ,Fri 17:10-19:00,0/ 0
107/ 2,GD0058,33401,通識中心,1,歌劇與歌劇院Opera and Opera Houses    ,洪于淳,3 ,Fri 13:10-16:00,33/ 70
107/ 2,GD0076,33402,通識中心,1,文學中的現代軌跡Modern Fiction    ,林美清,3 ,Fri 13:10-16:00,64/ 70
107/ 2,GD0077,33403,通識中心,1,傳記文學選讀及寫作Selected Readings in Biographical Literature and Writing    ,陳姿蓉,3 ,Tue 15:10-18:00,25/ 70
107/ 2,GD0078,33404,通識中心,1,現代詩與當代文化Modern Poetry and Contemporary Culture    ,劉德玲,3 ,Tue 13:10-16:00,16/ 70
107/ 2,GD0079,33405,通識中心,1,寓言-經典與多元思維Fables：A Multidimensional View of Classics    ,韓學宏,3 ,Fri 13:10-16:00,67/ 70
107/ 2,GD0080,33406,通識中心,1,台灣詩．鄉土情The Taiwan Poetry Country Love    ,徐慧鈺,3 ,Fri 13:10-16:00,70/ 70
107/ 2,GD0081,33407,通識中心,1,音樂的語言The Language of Music    ,周悅如,3 ,Tue 15:10-18:00,0/ 70
107/ 2,GD0088,33408,通識中心,1,哲學與文化philosophical Propositions-an Introduction to Philosophy and Culture    ,邸彥,3 ,Tue 13:10-16:00,70/ 70
107/ 2,GD0089,33409,通識中心,1,思辨與選擇Speculative and Choice    ,潘玉愛,3 ,Tue 15:10-18:00,57/ 70
107/ 2,GD0082,33410,通識中心,1,倫理與美學：電影與戲劇中的莎士比亞Ethics and Aesthetics in Filmic and Staged Shakespeare    ,鄭惠芳,3 ,Mon 13:10-16:00,0/ 70
107/ 2,GD0083,33411,通識中心,1,西洋文學概論：古代作品選讀Introduction to Western Literature：Masterpieces of The Ancient World    ,張玉燕,3 ,Wed 09:10-12:00,70/ 70
107/ 2,GD0084,33412,通識中心,1,歐美戲劇Western Drama and Theatre    ,黃尹瑩,3 ,Mon 13:10-16:00,70/ 70
107/ 2,GD0085,33413,通識中心,1,"北美小說、技藝與性別角色North American Novels, Domestic Arts, and Gender    ",葉玉慧,3 ,Wed 09:10-12:00,70/ 70
107/ 2,GD0082,33414,通識中心,1,倫理與美學：電影與戲劇中的莎士比亞Ethics and Aesthetics in Filmic and Staged Shakespeare    ,鄭惠芳,3 ,Fri 13:10-16:00,30/ 70
107/ 2,GD0083,33415,通識中心,1,西洋文學概論：古代作品選讀Introduction to Western Literature：Masterpieces of The Ancient World    ,張玉燕,3 ,Fri 13:10-16:00,61/ 70
107/ 2,GD0008,33416,通識中心,2,中國近、現代史The History of Modern China    ,楊明哲,2 ,Thu 15:10-17:00,12/ 65
107/ 2,GD0010,33417,通識中心,2,人權與民主法治Human Rights and Democracy    ,陳英淙,2 ,Fri 10:10-12:00,3/ 65
107/ 2,GD0011,33418,通識中心,2,智慧財產權Right of Intellectual Property    ,黃孝惇,2 ,Thu 14:10-16:00,22/ 65
107/ 2,GD0015,33419,通識中心,2,賽局理論Game Theory    ,王光正,2 ,Thu 15:10-17:00,32/ 40
107/ 2,GD0017,33420,通識中心,2,網路社會學Internet Sociology    ,吳懷義,2 ,Fri 10:10-12:00,2/ 65
107/ 2,GD0024,33421,通識中心,2,歷史與人物History and Significant Figures    ,楊明哲,2 ,Thu 13:10-15:00,46/ 65
107/ 2,GD0044,33422,通識中心,2,醫療與社會Medicine and Society    ,陳麗如,2 ,Fri 10:10-12:00,1/ 65
107/ 2,GH0030,33423,通識中心,2,兩性關係Gender Relationship    ,王怡文,2 ,Tue 13:10-15:00,65/ 65
107/ 2,GH0033,33424,通識中心,2,1960年代專題Reflection on the 1960th    ,王賀白,2 ,Wed 13:10-15:00,63/ 65
107/ 2,GH0057,33425,通識中心,2,管理經濟學Managerial Economics    ,王榮杰,2 ,Mon 15:10-17:00,0/ 65
107/ 2,GH0077,33426,通識中心,2,影像中的社會與文化Encountering Society and Culture through Films    ,李舒中,2 ,Thu 13:10-15:00,64/ 65
107/ 2,GH0083,33427,通識中心,2,團體動力在人際互動的應用Group Dynamics in the Application of Interpersonal Interaction    ,胡正申,2 ,Thu 13:10-15:00,59/ 65
107/ 2,GH0084,33428,通識中心,2,危機調適理論與實務Crisis Intervention Theory and Practice    ,胡正申,2 ,Wed 13:10-15:00,64/ 65
107/ 2,GH0090,33429,通識中心,2,科技倫理Technology Ethics    ,蘇詔勤,2 ,Mon 10:10-12:00,24/ 65
107/ 2,GH0099,33430,通識中心,2,法律與生活Law in Daily Life    ,于茂宗,2 ,Mon 13:10-15:00,61/ 65
107/ 2,GH0102,33431,通識中心,2,經典閱讀： <羅爾斯正義論〉Classical Reading： A Theory of Justice ( John Rawls)    ,王賀白,2 ,Wed 16:10-18:00,46/ 65
107/ 2,GH0107,33432,通識中心,2,全球化思維的領導與決策Leadership and Decision-making with Thinking Framework of Globalization    ,楊志誠,2 ,Tue 13:10-15:00,23/ 65
107/ 2,GT0018,33433,通識中心,2,人際溝通Interpersonal Communication    ,陳惠茹,2 ,Wed 10:10-12:00,60/ 65
107/ 2,GT0040,33434,通識中心,2,親職教育Education of Parenting    ,陳惠茹,2 ,Tue 13:10-15:00,64/ 65
107/ 2,GT0046,33435,通識中心,2,針灸學概論Introduction to Acupuncture and Moxibustion    ,薛宏昇,2 ,Tue 08:10-10:00,64/ 65
107/ 2,GT0047,33436,通識中心,2,營養與保健Nutrition and Health    ,王彥懿,2 ,Thu 10:10-12:00,53/ 65
107/ 2,GT0053,33437,通識中心,2,中藥的養生保健與美容Health and Beauty Maintenance in Chinese Medicine    ,魏迺杰,2 ,Tue 15:10-17:00,29/ 35
107/ 2,GT0060,33438,通識中心,2,生物技術概論Introduction to Biotechnology    ,張國友,2 ,Thu 10:10-12:00,1/ 65
107/ 2,GT0068,33439,通識中心,2,生物科技產業之認識與分析Biotechnology Industry :Understanding and Analysis    ,林稟彬,2 ,Wed 13:10-15:00,10/ 65
107/ 2,GT0071,33440,通識中心,2,特殊教育導論Introduction of Special Education    ,陳麗如,2 ,Thu 10:10-12:00,63/ 65
107/ 2,GT0074,33441,通識中心,2,生命的科學Science of Life    ,孫明宗,2 ,Thu 10:10-12:00,28/ 65
107/ 2,GT0078,33442,通識中心,2,個人理財與投資Investments & Management    ,王榮杰,2 ,Mon 10:10-12:00,15/ 65
107/ 2,GT0101,33443,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,陳世忠,2 ,Mon 15:10-17:00,64/ 65
107/ 2,GT0110,33444,通識中心,2,草藥的認識與應用Knowledge and Application of Herb Medicine    ,楊榮季,2 ,Thu 10:10-12:00,63/ 65
107/ 2,GT0115,33445,通識中心,2,環境與生命Environment & Life    ,萬國華,2 ,Tue 15:10-17:00,0/ 65
107/ 2,GT0116,33446,通識中心,2,生命科學導論Introduction of Life Sciences    ,周淑娥,2 ,Tue 10:10-12:00,2/ 65
107/ 2,GT0119,33447,通識中心,2,財務管理與分析Financial Management and Analysis    ,王榮杰,2 ,Mon 13:10-15:00,4/ 65
107/ 2,GT0120,33448,通識中心,2,藥物與生活Drug and Life    ,謝珮文,2 ,Mon 13:10-15:00,65/ 65
107/ 2,GT0125,33449,通識中心,2,生涯發展與規劃Career Development    ,陳麗如,2 ,Mon 10:10-12:00,46/ 65
107/ 2,GT0133,33450,通識中心,2,自然界的趣味數學Interesting Mathematics in Nature    ,黃朝錦,2 ,Thu 10:10-12:00,0/ 65
107/ 2,GT0134,33451,通識中心,2,網頁設計美學Webpage Design Aesthetics    ,李榮宗,2 ,Tue 15:10-17:00,27/ 40
107/ 2,GT0135,33452,通識中心,2,部落格數位生活Learning Blog    ,吳宜真,2 ,Mon 13:10-15:00,27/ 40
107/ 2,GT0136,33453,通識中心,2,程式寫作邏輯導論Introduction to Programing Logic    ,吳宜真,2 ,Mon 16:10-18:00,34/ 40
107/ 2,GT0137,33454,通識中心,2,資料處理與應用Introduction of Data Processing    ,李榮宗,2 ,Fri 10:10-12:00,33/ 40
107/ 2,GT0138,33455,通識中心,2,資料庫的理論與應用Database : Theory and Application    ,張淑滿,2 ,Thu 10:10-12:00,13/ 40
107/ 2,GT0139,33456,通識中心,2,數位革新：智慧型人機介面Digital Innovation：Intelligent Interface of Human-Machine    ,黃朝錦,2 ,Wed 13:10-15:00,12/ 25
107/ 2,GT0142,33457,通識中心,2,健康照護產業Healthcare Industry    ,白裕彬,2 ,Tue 15:10-17:00,4/ 65
107/ 2,GT0146,33458,通識中心,2,聖經與科學Bible and Science    ,賴朝松,2 ,Thu 10:10-12:00,7/ 65
107/ 2,GT0150,33459,通識中心,2,食品安全與健康Food Safety and Health    ,顏宗海,2 ,Tue 15:10-17:00,59/ 65
107/ 2,GT0156,33460,通識中心,2,"大數據之旅-挑戰KaggleJourney Toward Big Data, Kaggle Challenge    ",黃朝錦,2 ,Tue 10:10-12:00,18/ 20
107/ 2,GT0158,33461,通識中心,2,借力使力人工智慧Leveraging Artificial Intelligence    ,許炳堅,2 ,Fri 10:10-12:00,15/ 65
107/ 2,GH0077,33462,通識中心,2,影像中的社會與文化Encountering Society and Culture through Films    ,李舒中,2 ,Fri 10:10-12:00,32/ 65
107/ 2,GT0101,33463,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,陳世忠,2 ,Mon 10:10-12:00,65/ 65
107/ 2,GT0101,33464,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,陳世忠,2 ,Thu 10:10-12:00,65/ 65
107/ 2,GT0101,33465,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,陳世忠,2 ,Thu 13:10-15:00,65/ 65
107/ 2,GT0101,33466,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,蘇詔勤,2 ,Tue 10:10-12:00,58/ 65
107/ 2,GT0101,33467,通識中心,2,溝通技巧與領導統御Bussiness Communication skills and Leadership    ,黃鐘鋒,2 ,Mon 18:10-20:00,64/ 65
107/ 2,GT0137,33468,通識中心,2,資料處理與應用Introduction of Data Processing    ,施大偉,2 ,Mon 13:10-15:00,40/ 40
107/ 2,GT0137,33469,通識中心,2,資料處理與應用Introduction of Data Processing    ,陳偉忠,2 ,Tue 13:10-15:00,40/ 40
107/ 2,GT0137,33470,通識中心,2,資料處理與應用Introduction of Data Processing    ,陳偉忠,2 ,Tue 15:10-17:00,23/ 40
107/ 2,GD0011,33471,通識中心,2,智慧財產權Right of Intellectual Property    ,吳秀玲,2 ,Wed 19:10-21:00,65/ 65
107/ 2,GD0011,33472,通識中心,2,智慧財產權Right of Intellectual Property    ,邱榮輝,2 ,Tue 14:10-16:00,52/ 65
107/ 2,GD0011,33473,通識中心,2,智慧財產權Right of Intellectual Property    ,邱榮輝,2 ,Tue 14:10-16:00,45/ 65
107/ 2,GD0002,33474,通識中心,2,詩詞選讀Literary Reading:Poetry    ,劉德玲,2 ,Thu 10:10-12:00,5/ 10
107/ 2,GD0006,33475,通識中心,2,中文寫作Chinese Composition    ,陳姿蓉,2 ,Thu 13:10-15:00,12/ 25
107/ 2,GD0030,33476,通識中心,2,現代詩Modern Poetry    ,陳姿蓉,2 ,Wed 13:10-15:00,34/ 65
107/ 2,GD0035,33477,通識中心,2,基礎素描Drawing Basic    ,陳昱銘,2 ,Fri 13:10-15:00,65/ 65
107/ 2,GD0051,33478,通識中心,2,傳染病史概論Introduction to the history of communicable disease    ,張淑卿,2 ,Tue 10:10-12:00,63/ 65
107/ 2,GH0017,33479,通識中心,2,人生哲學Philosophy of Life    ,潘玉愛,2 ,Tue 13:10-15:00,42/ 65
107/ 2,GH0054,33480,通識中心,2,自然生態文學A literary Reading in Ecology    ,韓學宏,2 ,Wed 15:10-17:00,63/ 65
107/ 2,GH0066,33481,通識中心,2,道家思想導論與導讀The Introduction of Taoist    ,邸彥,2 ,Wed 13:10-15:00,64/ 65
107/ 2,GH0068,33482,通識中心,2,音樂與文化Music and Culture    ,周悅如,2 ,Thu 10:10-12:00,1/ 60
107/ 2,GH0069,33483,通識中心,2,電影與音樂Movies and Music    ,周悅如,2 ,Thu 15:10-17:00,60/ 65
107/ 2,GH0072,33484,通識中心,2,器樂大師經典作品賞析Appreciation of Orchestral Works by Great Composers    ,洪于淳,2 ,Mon 10:10-12:00,0/ 65
107/ 2,GH0093,33485,通識中心,2,張愛玲小說選讀The Selected Readings of Eileen Chang's Fictions    ,林美清,2 ,Thu 13:10-15:00,37/ 40
107/ 2,GH0094,33486,通識中心,2,台灣古典文學選讀Selected Readings in Classical Literature in Taiwan    ,徐慧鈺,2 ,Thu 15:10-17:00,12/ 65
107/ 2,GH0101,33487,通識中心,2,弦樂作品賞析Appreciation of String Works    ,洪于淳,2 ,Mon 13:10-15:00,20/ 65
107/ 2,GH0105,33488,通識中心,2,西洋美術巡禮The Parades of Western Art    ,洪進丁,2 ,Tue 10:10-12:00,11/ 65
107/ 2,GH0108,33489,通識中心,2,"<紅樓夢>之詩詞品賞""Dream of Red Mansions"" Poem Appreciation    ",徐慧鈺,2 ,Mon 10:10-12:00,11/ 60
107/ 2,GT0087,33490,通識中心,2,音樂與情緒Emotion in Music    ,許淑婷,2 ,Mon 13:10-15:00,0/ 65
107/ 2,GT0095,33491,通識中心,2,中國繪畫入門Chiness Painting    ,江正誠,2 ,Wed 10:10-12:00,60/ 65
107/ 2,GE1003,33863,通識中心,2,基礎英文寫作Basic English Composition    ,張玉燕,2 ,Fri 08:10-10:00,12/ 0
