學年/學期Semester,科目代號Course Code,開課序號Serial No.,開課單位Department,年級Year,課程名稱Course Title,授課教師Instructor,學分Credits,上課時間Class Sched.,選課人數Seats
107/ 2,GT0154,32670,通識中心,2,德文(3)German (Ⅲ)    ,楊文敏,2 ,Tue 10:10-12:00,18/ 65
107/ 2,GD0036,32671,通識中心,2,英美小說選讀English Fiction    ,陳鳳儀,2 ,Mon 10:10-12:00,0/ 30
107/ 2,GD0037,32672,通識中心,2,商務英語溝通Business English Communication    ,賴素珍,2 ,Mon 13:10-15:00,27/ 30
107/ 2,GD0043,32673,通識中心,2,新聞英語Journalistic English    ,楊吉林,2 ,Wed 13:10-15:00,27/ 30
107/ 2,GD0054,32674,通識中心,2,美國大眾文化與世界American Popular Culture and Its Diffusion in the World Today    ,麥哲恩,2 ,Thu 13:10-15:00,64/ 60
107/ 2,GD0055,32675,通識中心,2,英文簡報技巧Presenting in English    ,葉玉慧,2 ,Tue 10:10-12:00,10/ 30
107/ 2,GH0001,32676,通識中心,2,英文工作坊Workshop    ,楊吉林,0 ,Fri 08:10-10:00,52/ 55
107/ 2,GH0046,32677,通識中心,2,德文(1)German (Ⅰ)    ,楊文敏,2 ,Tue 13:10-15:00,39/ 60
107/ 2,GH0050,32678,通識中心,2,日文(1)Japanese(Ⅰ)    ,朱順,2 ,Mon 13:10-15:00,36/ 60
107/ 2,GH0067,32679,通識中心,2,初階法文French (Ⅰ)    ,程鳳屏,2 ,Thu 15:10-17:00,47/ 60
107/ 2,GH0074,32680,通識中心,2,進階法文French (Ⅱ)    ,程鳳屏,2 ,Thu 13:10-15:00,16/ 60
107/ 2,GT0076,32681,通識中心,2,德文(2)German (Ⅱ)    ,楊文敏,2 ,Tue 15:10-17:00,5/ 60
107/ 2,GT0081,32682,通識中心,2,日文(2)Japanese(Ⅱ)    ,朱順,2 ,Mon 15:10-17:00,3/ 60
107/ 2,GT0105,32683,通識中心,2,旅遊英文Traveler's English    ,陳鳳儀,2 ,Tue 10:10-12:00,42/ 60
107/ 2,GD0036,32684,通識中心,2,英美小說選讀English Fiction    ,黃尹瑩,2 ,Tue 15:10-17:00,19/ 30
107/ 2,GH0001,32685,通識中心,2,英文工作坊Workshop    ,楊吉林,0 ,Thu 08:10-10:00,54/ 55
107/ 2,GH0001,32686,通識中心,2,英文工作坊Workshop    ,楊吉林,0 ,Wed 08:10-10:00,47/ 55
107/ 2,GH0001,32687,通識中心,2,英文工作坊Workshop    ,楊吉林,0 ,Tue 08:10-10:00,55/ 55
107/ 2,GD0037,32688,通識中心,2,商務英語溝通Business English Communication    ,賴素珍,2 ,Wed 10:10-12:00,18/ 30
107/ 2,GD0037,32689,通識中心,2,商務英語溝通Business English Communication    ,高佩倫,2 ,Mon 15:10-17:00,1/ 30
107/ 2,GD0037,32690,通識中心,2,商務英語溝通Business English Communication    ,高佩倫,2 ,Thu 10:10-12:00,3/ 30
107/ 2,GD0043,32691,通識中心,2,新聞英語Journalistic English    ,楊吉林,2 ,Thu 10:10-12:00,0/ 30
107/ 2,GD0054,32692,通識中心,2,美國大眾文化與世界American Popular Culture and Its Diffusion in the World Today    ,麥哲恩,2 ,Thu 10:10-12:00,62/ 60
107/ 2,GS0113,33374,通識中心,1,近代東亞的歷史變遷與發展The Historical Change and Development of Modern East Asia    ,楊明哲,3 ,Tue 13:10-16:00,0/ 70
107/ 2,GS0114,33375,通識中心,1,中國近世歷史與士人文化Early Modern Chinese History and the Culture of Literati    ,黃寬重,3 ,Tue 15:10-18:00,67/ 70
107/ 2,GS0208,33376,通識中心,1,法學緒論Introduction to Jurisprudence    ,陳英淙,3 ,Mon 15:10-18:00,68/ 70
