學年/學期Semester,科目代號Course Code,開課序號Serial No.,開課單位Department,年級Year,課程名稱Course Title,授課教師Instructor,學分Credits,上課時間Class Sched.,選課人數Seats
106/ 2,GH0093,27251,通識中心,2,張愛玲小說選讀The Selected Readings of Eileen Chang's Fictions    ,林美清,2 ,Wed 10:10-12:00,55/ 65
106/ 2,GD0058,29883,通識中心,1,歌劇與歌劇院Opera and Opera Houses    ,洪于淳,3 ,Wed 09:10-12:00,25/ 70
106/ 2,GD0076,30121,通識中心,1,文學中的現代軌跡Modern Fiction    ,林美清,3 ,Fri 13:10-16:00,69/ 70
106/ 2,GD0077,30129,通識中心,1,傳記文學選讀及寫作Selected Readings in Biographical Literature and Writing    ,陳姿蓉,3 ,Tue 15:10-18:00,70/ 70
106/ 2,GD0078,30130,通識中心,1,現代詩與當代文化Modern Poetry and Contemporary Culture    ,劉德玲,3 ,Tue 13:10-16:00,68/ 70
106/ 2,GD0079,30131,通識中心,1,寓言-經典與多元思維Fables：A Multidimensional View of Classics    ,韓學宏,3 ,Wed 09:10-12:00,69/ 70
106/ 2,GD0080,30132,通識中心,1,台灣詩．鄉土情The Taiwan Poetry Country Love    ,徐慧鈺,3 ,Wed 09:10-12:00,68/ 70
106/ 2,GD0081,30133,通識中心,1,音樂的語言The Language of Music    ,周悅如,3 ,Mon 15:10-18:00,13/ 70
106/ 2,GD0082,30134,通識中心,1,倫理與美學：電影與戲劇中的莎士比亞Ethics and Aesthetics in Filmic and Staged Shakespeare    ,鄭惠芳,3 ,Wed 09:10-12:00,53/ 70
106/ 2,GD0084,30135,通識中心,1,歐美戲劇Western Drama and Theatre    ,黃尹瑩,3 ,Mon 13:10-16:00,68/ 70
106/ 2,GD0085,30136,通識中心,1,"北美小說、技藝與性別角色North American Novels, Domestic Arts, and Gender    ",葉玉慧,3 ,Wed 09:10-12:00,70/ 70
106/ 2,GD0088,30137,通識中心,1,哲學與文化philosophical Propositions-an Introduction to Philosophy and Culture    ,邸彥,3 ,Tue 13:10-16:00,70/ 70
106/ 2,GD0089,30138,通識中心,1,思辨與選擇Speculative and Choice    ,潘玉愛,3 ,Tue 15:10-18:00,69/ 70
106/ 2,GS0113,30139,通識中心,1,近代東亞的歷史變遷與發展The Historical Change and Development of Modern East Asia    ,楊明哲,3 ,Tue 13:10-16:00,0/ 70
106/ 2,GH0071,30140,通識中心,1,室內樂作品欣賞與實習The Appreciation and Ensemble Practice of Chamber Music    ,周悅如,2 ,Fri 18:10-20:00,6/ 0
106/ 2,GS0112,30141,通識中心,1,文化與歷史思維Historical Perspective on Cultures    ,曾華璧,3 ,Tue 15:10-18:00,68/ 70
106/ 2,GS0113,30142,通識中心,1,近代東亞的歷史變遷與發展The Historical Change and Development of Modern East Asia    ,楊明哲,3 ,Wed 09:10-12:00,41/ 70
106/ 2,GS0114,30143,通識中心,1,中國近世歷史與士人文化Early Modern Chinese History and the Culture of Literati    ,黃寬重,3 ,Tue 15:10-18:00,60/ 70
