#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2014-03-09-10-22-07
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	count	string	count	count	count	count	table[string]
1345785885.055080	Cbjs704oT8n7OxRe06	192.168.106.141	68	192.168.106.254	67	udp	dhcp	0.000258	300	300	SF	-	0	Dd	1	328	1	328	(empty)
1345786005.067793	CA0HkG4Iqye6lOvAj8	192.168.106.141	137	192.168.106.2	137	udp	dns	2.999043	204	0	S0	-	0	D	3	288	0	0	(empty)
1345786125.068386	C979oz4kR4oYg7Gq01	192.168.106.141	137	192.168.106.2	137	udp	dns	3.000038	204	0	S0	-	0	D	3	288	0	0	(empty)
1345786245.069873	ChhbQG2f0krCJTbna1	192.168.106.141	137	192.168.106.2	137	udp	dns	3.000153	204	0	S0	-	0	D	3	288	0	0	(empty)
1345786296.681131	CYWDYI2nADTElENiI7	192.168.106.141	137	192.168.106.2	137	udp	dns	2.998897	150	0	S0	-	0	D	3	234	0	0	(empty)
1345786365.071578	CaALDw3Wm0IkawySe8	192.168.106.141	137	192.168.106.2	137	udp	dns	3.000225	204	0	S0	-	0	D	3	288	0	0	(empty)
1345786485.072203	CZSgBD3uLJAXu9p7w4	192.168.106.141	137	192.168.106.2	137	udp	dns	3.000043	204	0	S0	-	0	D	3	288	0	0	(empty)
1345786605.073784	C3PImb3BEBCgAV65m4	192.168.106.141	137	192.168.106.2	137	udp	dns	3.000075	204	0	S0	-	0	D	3	288	0	0	(empty)
1345786725.075426	CcBuf93PXuCclXw25	192.168.106.141	137	192.168.106.2	137	udp	dns	3.000029	204	0	S0	-	0	D	3	288	0	0	(empty)
1345786785.097751	Cm0AdV2iOFISxDc0q9	192.168.106.141	137	192.168.106.2	137	udp	dns	2.994028	204	0	S0	-	0	D	3	288	0	0	(empty)
1345786785.080522	CNYwxO2GnJnSEA7hA	192.168.106.141	68	192.168.106.254	67	udp	dhcp	0.000163	300	300	SF	-	0	Dd	1	328	1	328	(empty)
1345786905.092398	C2K9au4NDzckW62Ee9	192.168.106.141	137	192.168.106.2	137	udp	dns	2.999953	204	0	S0	-	0	D	3	288	0	0	(empty)
1345787025.094002	CPbcLr4h3iXUrsXPt5	192.168.106.141	137	192.168.106.2	137	udp	dns	14.140408	354	0	S0	-	0	D	6	522	0	0	(empty)
1345787145.095538	C9nza33KospcaVxvY4	192.168.106.141	137	192.168.106.2	137	udp	dns	3.000032	204	0	S0	-	0	D	3	288	0	0	(empty)
1345787265.097109	CYkLvW22dtucRPJx57	192.168.106.141	137	192.168.106.2	137	udp	dns	2.999183	204	0	S0	-	0	D	3	288	0	0	(empty)
1345787385.097752	C6DTrJ3ZeEItilnPg7	192.168.106.141	137	192.168.106.2	137	udp	dns	3.000022	204	0	S0	-	0	D	3	288	0	0	(empty)
1345787505.099524	Cd7PRL3pGk4jYadili	192.168.106.141	137	192.168.106.2	137	udp	dns	3.000244	204	0	S0	-	0	D	3	288	0	0	(empty)
1345787625.100931	C6yFip1Wzx4oseR1ai	192.168.106.141	137	192.168.106.2	137	udp	dns	3.000071	204	0	S0	-	0	D	3	288	0	0	(empty)
1345787685.122963	CvL5dCrWqC5fwAEng	192.168.106.141	137	192.168.106.2	137	udp	dns	2.994325	204	0	S0	-	0	D	3	288	0	0	(empty)
