#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	http
#open	2014-03-09-10-22-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	trans_depth	method	host	uri	referrer	user_agent	request_body_len	response_body_len	status_code	status_msg	info_code	info_msg	filename	tags	username	password	proxied	orig_fuids	orig_mime_types	resp_fuids	resp_mime_types
#types	time	string	addr	port	addr	port	count	string	string	string	string	string	count	count	count	string	count	string	string	table[enum]	string	string	table[string]	vector[string]	vector[string]	vector[string]	vector[string]
1317692569.857465	CQsJSc3eaEsxaAda3d	172.16.165.128	1073	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.0.6) Gecko/20060808 Fedora/1.5.0.6-2.fc5 Firefox/1.5.0.6 pango-text	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FGuKfc34jOcqNSaus8	text/html
1317692569.864199	ClmeOs28UvRabF2Kk5	172.16.165.128	1074	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Mozilla/5.0 (X11; U; FreeBSD i386; en-US; rv:1.7.8) Gecko/20050609 Firefox/1.0.4	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FE3UIx2zyqvKCJOLu6	text/html
1317692569.888198	CtG7wnKVtVdWt0y33	172.16.165.128	1077	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Opera/9.50 (Windows NT 5.1; U; ru)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FluxFN31mtVCzvBdUi	text/html
1317692569.883276	CXW1Mg321XGsSsBTR	172.16.165.128	1076	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FDb32h2G5QUrMclv0f	text/html
1317692569.920523	CvAZeq32zACod6zGac	172.16.165.128	1081	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/5.0 (X11; U; Linux x86_64; ru; rv:1.9.0.2) Gecko/2008092702 Gentoo Firefox/3.0.2	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FwlDUA4d7UnN0j1sNe	text/html
1317692569.938849	C2jMFYg3p22p7nDP3	172.16.165.128	1083	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F4C8xQ36fcLRv89fVb	text/html
1317692569.957239	CfTY7I2SdQQX3dSP0e	172.16.165.128	1084	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Nitro) Opera 8.50 [fr]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FFrOv51fnLTn7Zo4W5	text/html
1317692569.969566	CcfMhvWAUJdRQUifb	172.16.165.128	1087	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/4.0 (compatible; MSIE 7.0b; Win32)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F1h6FM3DJkGLXK6ERh	text/html
1317692569.975948	CTfEAR2wqEwdZVlfa3	172.16.165.128	1088	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/	-	Mozilla/4.0 (compatible; MSIE 6.0; ; Linux armv5tejl; U) Opera 8.02 [en_US] Maemo browser 0.4.31 N770/SU-18	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FJCTQG1KvwHGDDBEM2	text/html
1317692569.985650	CsdNEmMhA4sGiEDHe	172.16.165.128	1090	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Mozilla/2.0 (compatible; MSIE 3.01; Windows 98)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F07Wzh4AhbSlpwbAyj	text/html
1317692570.005352	Cn0wLt3unXtpPhvXLb	172.16.165.128	1093	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Mozilla/5.0 (Windows; U; Windows NT 5.1; nl-NL; rv:1.7.5) Gecko/20041202 Firefox/1.0	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FX4blW2oqm2r7esPyc	text/html
1317692570.063882	CROmxic26coXqn7o3	172.16.165.128	1097	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FJujRZitL9DDgZPhc	text/html
1317692570.065078	C8vzrV2iuHWD75zPvb	172.16.165.128	1099	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Opera/9.50 (Windows NT 6.0; U; en)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FZwjim14Z5lcpAr6b1	text/html
1317692570.066159	CRyDcN24iJ4JZZlzL2	172.16.165.128	1100	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/standard-forex-account.html	-	Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US; rv:1.9.0.10) Gecko/2009042316 Firefox/3.0.10	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F8Ir0W1d78WMEm1Av1	text/html
1317692570.075115	C3qla91Y2W4A4oRIO	172.16.165.128	1101	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/4.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	Fe9sIe49YPmC6ksNPb	text/html
1317692570.091869	ChIJAE2un56p39Svpe	172.16.165.128	1105	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.1.4322)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FbhhyH2ZVXYQ7TLOTb	text/html
1317692570.088872	Cqo2cquUITCDEXY4f	172.16.165.128	1102	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.0.3) Gecko/20060426 Firefox/1.5.0.3	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FPoJkhco4aag1nCDj	text/html
1317692570.090687	CM8dbf3kRp1OrL3is3	172.16.165.128	1103	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FdE6vgymBktA4oYta	text/html
1317692570.107907	CeWMFz29dMz1ns6Hc	172.16.165.128	1107	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/standard-forex-account.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; Nokia 6600/5.27.0; 6936) Opera 8.50 [ru]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FmclVa2DHbakqoLkR8	text/html
1317692570.111952	CQyFno3chuAKgYmBa	172.16.165.128	1106	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; Nokia 6600/5.27.0; 6329) Opera 8.00 [ru]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FPCcnK320OkOeJ5xY8	text/html
1317692570.123470	CqIzpA2kBOEaPOBqD4	172.16.165.128	1108	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/4.0 (compatible; MSIE 6.0; MSN 2.5; Windows 98)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FqTtq51HsjHMvFMU9f	text/html
1317692570.169957	CdiCd3u3mwCA8D70g	172.16.165.128	1110	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Opera/9.10 (Windows NT 5.1; U; en)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FF9OkgSCelPls5Fkd	text/html
1317692570.183382	CMQaPDEl4VTP2mtmd	172.16.165.128	1113	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Opera/9.02 (Windows NT 5.1; U; en)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F8VIeY1hWUdDaFOCdc	text/html
1317692570.186411	CkJver2agEB3nGmZhf	172.16.165.128	1111	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Opera/9.80 (Windows NT 6.1; U; ru) Presto/2.2.15 Version/10.00	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FCeBLukqIOdLTenYg	text/html
1317692570.216113	CHiBeFG7iyEAmHIeg	172.16.165.128	1118	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/	-	Opera/8.51 (Windows NT 5.1; U; en)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	Fa3P6x3zPBptsrEn53	text/html
1317692570.222481	CzjoJw2piR6Q2KgIo4	172.16.165.128	1123	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US; rv:1.8.0.4) Gecko/20060516 SeaMonkey/1.0.2	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F6HeFC2MXttuQeGol7	text/html
1317692570.216505	C0OySZ2mgDiXMdnKj2	172.16.165.128	1120	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Opera/8.51 (Windows NT 5.1; U; en)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FGBhlc2AdomJE8SKRc	text/html
1317692570.214911	Ci4oOfgb5V1dzLkzf	172.16.165.128	1116	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.8.0.2) Gecko/20060308 Firefox/1.5.0.2	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FdMYcGhKR5JLfMZ4f	text/html
1317692570.245490	C28qRP3U3sQY4zFNc	172.16.165.128	1124	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/	-	Mozilla/4.0 (compatible; MSIE 5.17; Mac_PowerPC)	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FVKv1N1Kh39mrbkBDl	text/html
1317692570.285483	CS5yPp2tpC9i9Tqp55	172.16.165.128	1128	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Opera/9.80 (Windows NT 5.1; U; en) Presto/2.5.18 Version/10.50	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FeaItI36b1OXpKhJea	text/html
1317692570.307989	C5Rm6eXXrldbp1Jwf	172.16.165.128	1130	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/532.5 (KHTML, like Gecko) Chrome/4.0.249.89 Safari/532.5	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F2z5ZA2xVFyqg7ZwL	text/html
1317692570.310211	CszKsa3dNOHG5BMKR1	172.16.165.128	1132	199.16.81.167	80	1	GET	www.tadawulfx.com	/	-	Mozilla/5.0 (Windows; U; Windows NT 5.1; ru; rv:1.8.1.20) Gecko/20081217 Firefox/2.0.0.20	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FaseSW1p9mJF1SIUwe	text/html
1317692570.323338	C6RLFchLPCz8Irr95	172.16.165.128	1133	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; Nokia 6600/5.27.0; 6329) Opera 8.00 [ru]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F1qeRS1fqDfjtBFt6	text/html
1317692570.335223	CoS1M3rmu5wDW498g	172.16.165.128	1136	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/trading-accounts/premium-forex-account.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; Nokia 6600/5.27.0; 1665) Opera 8.60 [ru]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	F34qxv1svAPwzRaPXd	text/html
1317692570.337494	CX8hSz2JCVZgqYYjv4	172.16.165.128	1138	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; Nokia 6600/5.27.0; 6936) Opera 8.50 [ru]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	Fii4Qk4txL8lY8BA1h	text/html
1317692570.367431	CD3ZOn33nwBc48Fy2	172.16.165.128	1140	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Mozilla/4.0 (compatible; MSIE 6.0; Nitro) Opera 8.50 [it]	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FRpRjT1IRfVhOIcji6	text/html
1317692570.407663	CzPUDe3R8o3GE7XQDb	172.16.165.128	1145	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/education/gold-and-silver-overview.html	-	Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv:1.3a) Gecko/20030105 Phoenix/0.5	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FAepBb2MnjzVZ7lQhb	text/html
1317692570.399892	CGdh8F2HaAfQzOaCG	172.16.165.128	1143	199.16.81.167	80	1	GET	www.tadawulfx.com	/public/platforms/mt4-mobile.html	-	Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.7.9) Gecko/20050711 Firefox/1.0.5	0	65	200	OK	-	-	-	(empty)	-	-	-	-	-	FmmS1v3frmEx1uXCJj	text/html
